155 7 6
163 18 19
165 17 18
7 155 167
167 155 154
158 151 159
18 163 165
165 163 154
154 155 165
8 7 167
167 154 153
158 159 169
156 171 174
175 173 157
176 168 156
164 172 178
178 172 157
157 173 179
182 181 161
161 176 182
160 173 184
160 184 185
185 174 160
186 171 162
187 173 160
188 176 156
156 174 188
189 171 156
190 177 162
162 171 190
192 178 157
153 181 193
193 180 153
194 167 153
153 180 194
153 154 196
163 181 196
196 154 163
196 181 153
164 178 197
6 0 198
17 165 198
198 0 17
155 6 198
155 198 165
189 190 171
186 160 174
171 186 174
175 184 173
185 150 188
185 188 174
188 150 182
176 188 182
192 152 197
192 197 178
193 150 195
193 195 180
191 194 180
182 150 193
182 193 181
195 150 185
184 195 185
11 172 12
12 172 164
13 12 164
157 172 175
19 20 200
11 10 201
201 172 11
21 22 202
203 20 21
204 22 23
207 10 9
201 10 207
202 22 204
200 20 203
203 21 202
163 19 200
200 181 163
161 181 200
197 152 208
192 179 152
157 179 192
162 209 170
177 209 162
204 183 168
206 14 13
164 206 13
197 206 164
208 206 197
9 8 194
207 9 194
167 194 8
191 207 194
204 168 202
156 168 212
212 168 183
212 189 156
212 183 210
189 212 210
209 205 170
176 161 203
161 200 203
176 203 168
202 168 203
189 210 190
175 191 184
191 180 195
195 184 191
31 30 213
215 25 26
217 170 205
207 191 201
201 191 175
201 175 172
179 173 217
217 173 187
214 205 209
218 23 24
219 15 14
206 208 219
14 206 219
162 170 187
162 187 186
186 187 160
217 187 170
204 218 183
218 204 23
199 183 218
220 16 15
219 220 15
29 28 222
223 30 29
29 222 223
227 183 199
227 158 210
210 183 227
229 24 25
25 215 229
230 1 16
28 1 230
16 220 230
151 158 227
151 227 199
213 30 223
222 28 230
222 230 220
24 229 218
229 199 218
229 151 199
226 219 208
219 226 220
233 234 228
228 234 216
221 232 236
213 223 224
226 224 223
205 236 217
208 152 232
208 232 226
224 226 232
236 152 179
179 217 236
152 236 232
151 166 159
166 151 229
229 215 166
211 216 177
216 211 228
209 216 214
209 177 216
236 205 221
225 159 166
205 214 238
205 238 221
235 221 238
237 211 244
244 169 237
237 169 245
166 215 242
166 242 225
242 231 225
211 237 239
240 159 225
240 169 159
243 213 224
235 243 221
243 224 232
232 221 243
234 246 216
214 216 246
158 169 244
210 158 244
190 210 244
177 190 244
244 211 177
223 222 220
226 223 220
241 238 214
246 241 214
241 235 238
247 32 31
247 243 235
33 32 248
248 32 247
235 248 247
245 169 240
235 241 248
225 231 240
233 228 211
245 239 237
239 233 211
41 40 249
250 40 39
249 40 250
249 250 231
242 26 27
215 26 242
231 242 249
39 240 250
240 39 38
250 240 231
245 240 38
239 37 36
233 36 35
233 239 36
27 2 41
33 248 241
34 33 241
234 35 34
234 233 35
34 241 234
241 246 234
247 31 213
243 247 213
27 41 249
27 249 242
38 37 239
38 239 245
256 18 17
264 65 64
266 66 65
18 256 268
268 256 255
259 252 260
65 264 266
266 264 255
255 256 266
19 18 268
268 255 254
259 260 270
257 272 275
276 274 258
277 269 257
265 273 279
279 273 258
258 274 280
283 282 262
262 277 283
261 274 285
261 285 286
286 275 261
287 272 263
288 274 261
289 277 257
257 275 289
290 272 257
291 278 263
263 272 291
293 279 258
254 282 294
294 281 254
295 268 254
254 281 295
254 255 297
264 282 297
297 255 264
297 282 254
265 279 298
17 0 299
66 266 299
299 0 66
256 17 299
256 299 266
290 291 272
287 261 275
272 287 275
276 285 274
286 251 289
286 289 275
289 251 283
277 289 283
293 253 298
293 298 279
294 251 296
294 296 281
292 295 281
283 251 294
283 294 282
296 251 286
285 296 286
22 273 23
23 273 265
24 23 265
258 273 276
64 63 301
22 21 302
302 273 22
62 61 303
304 63 62
305 61 60
308 21 20
302 21 308
303 61 305
301 63 304
304 62 303
264 64 301
301 282 264
262 282 301
298 253 309
293 280 253
258 280 293
263 310 271
278 310 263
305 284 269
307 25 24
265 307 24
298 307 265
309 307 298
20 19 295
308 20 295
268 295 19
292 308 295
305 269 303
257 269 313
313 269 284
313 290 257
313 284 311
290 313 311
310 306 271
277 262 304
262 301 304
277 304 269
303 269 304
290 311 291
276 292 285
292 281 296
296 285 292
45 44 314
316 58 57
318 271 306
308 292 302
302 292 276
302 276 273
280 274 318
318 274 288
315 306 310
319 60 59
320 26 25
307 309 320
25 307 320
263 271 288
263 288 287
287 288 261
318 288 271
305 319 284
319 305 60
300 284 319
321 27 26
320 321 26
43 42 323
324 44 43
43 323 324
328 284 300
328 259 311
311 284 328
330 59 58
58 316 330
331 2 27
42 2 331
27 321 331
252 259 328
252 328 300
314 44 324
323 42 331
323 331 321
