# z rho0(z) rho1(z)
0.5329316878004174 0.0 0.0
0.5987950634012524 0.0 0.0
0.6646584390020873 0.0 0.0
0.7305218146029223 0.0 0.0
0.7963851902037572 0.0 0.0
0.8622485658045922 0.0 0.0
0.9281119414054271 0.012333333333333335 0.001
0.9939753170062621 0.08506666666666667 0.005800000000000002
1.059838692607097 0.11426666666666668 0.011000000000000006
1.1257020682079317 0.07633333333333331 0.014000000000000009
1.1915654438087668 0.04460000000000003 0.011000000000000006
1.257428819409602 0.02706666666666668 0.006800000000000003
1.3232921950104366 0.01846666666666667 0.007600000000000003
1.3891555706112717 0.011933333333333334 0.0052000000000000015
1.4550189462121068 0.009000000000000001 0.008200000000000004
1.5208823218129415 0.0062666666666666634 0.008800000000000004
1.5867456974137766 0.004866666666666662 0.010200000000000004
1.6526090730146112 0.004466666666666662 0.009800000000000005
1.7184724486154463 0.00553333333333333 0.012200000000000006
1.7843358242162815 0.0071333333333333335 0.025000000000000015
1.8501991998171161 0.008866666666666667 0.03980000000000003
1.9160625754179512 0.011199999999999996 0.05299999999999999
1.9819259510187863 0.013333333333333329 0.07879999999999995
2.047789326619621 0.018200000000000004 0.08879999999999998
2.113652702220456 0.020200000000000006 0.09999999999999987
2.1795160778212908 0.0186 0.09819999999999997
2.245379453422126 0.020800000000000013 0.08699999999999998
2.311242829022961 0.017200000000000003 0.08579999999999993
2.3771062046237956 0.012466666666666673 0.055799999999999975
2.4429695802246307 0.008800000000000007 0.03240000000000002
2.508832955825466 0.0059999999999999975 0.021200000000000014
2.5746963314263005 0.005133333333333329 0.01680000000000001
2.6405597070271356 0.0045333333333333285 0.012200000000000006
2.7064230826279703 0.005599999999999997 0.009200000000000003
2.7722864582288054 0.006133333333333334 0.009200000000000003
2.8381498338296405 0.006933333333333334 0.0066000000000000026
2.904013209430475 0.011399999999999999 0.009400000000000004
2.9698765850313102 0.016600000000000007 0.007400000000000004
3.035739960632145 0.024866666666666676 0.009400000000000006
3.10160333623298 0.04586666666666668 0.010200000000000004
3.167466711833815 0.07540000000000001 0.014400000000000008
3.2333300874346502 0.11326666666666661 0.012400000000000007
3.299193463035485 0.08873333333333334 0.005000000000000001
3.36505683863632 0.012466666666666673 0.0004
3.4309202142371547 6.666666666666667e-5 0.0
3.4967835898379898 0.0 0.0
3.562646965438825 0.0 0.0
3.6285103410396595 0.0 0.0
3.6943737166404946 0.0 0.0
3.7602370922413293 0.0 0.0
